# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Aug  3 20:42:29 2024
#
# User preference: *
#
# CONSTRAINT:  where (discoverymethod like '%imaging%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,,,,,572.000000,7.000000,-7.000000,0,,,,,,,,,5720.91133,317.82841,-317.82841,0,18.00000,1.00000,-1.00000,0,Mass,,,,,,,,,2369,21,-5,0,0,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h59m09.86s,59.7911026,+20d09m35.91s,20.1599759,117.4350000,2.3200000,-2.2330000,,,,12.5330000,0.0280000,-0.0280000,16.9967000,0.0010820,-0.0010820,2024-05-08,2024-01,2024-05-08
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,Imaging,2010,Hubble Space Telescope,Published Confirmed,0,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref> Todorov et al. 2010 </a>,,,,,15.000000,,,0,,,,,,,,,2383.60000,794.50000,-794.50000,0,7.50000,2.50000,-2.50000,0,Mass,,,,,,,,,,,,,0,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref> Todorov et al. 2010 </a>,M8.5,,,,,,,,,0.02,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,,,,,,,13.1610000,0.0250000,-0.0250000,18.9668000,0.0068330,-0.0068330,2014-05-14,2010-05,2014-05-14
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,,,,,266.000000,8.000000,-8.000000,0,,,,,,,,,8899.19540,3178.28407,-2224.79885,0,28.00000,10.00000,-7.00000,0,Mass,,,,,,,,,2677,78,-76,0,0,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h01m19.09s,165.3295388,-77d32m38.73s,-77.5440912,,,,,,,11.6320000,0.0260000,-0.0260000,18.3299000,0.0022940,-0.0022940,2024-05-08,2024-01,2024-05-08
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,,,,,587.000000,2.000000,-2.000000,0,,,,,,,,,6356.56814,317.82841,-317.82841,0,20.00000,1.00000,-1.00000,0,Mass,,,,,,,,,2506,2,-2,0,0,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h55m04.60s,178.7691634,-79d19m11.12s,-79.3197558,100.8620000,0.6030000,-0.5960000,16.9570000,0.3090000,-0.3090000,10.0790000,0.0210000,-0.0210000,14.8180000,0.0017250,-0.0017250,2024-05-07,2024-01,2024-05-07
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,Imaging,2004,Paranal Observatory,Published Confirmed,0,<a refstr=CHAUVIN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref> Chauvin et al. 2004 </a>,,,,,55.000000,,,0,,,,,,,,,1589.15000,635.66000,-635.66000,0,5.00000,2.00000,-2.00000,0,Mass,,,,,,,,,1250,200,-200,0,0,<a refstr=CHAUVIN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref> Chauvin et al. 2004 </a>,M8,,,,,,,,,0.02,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.3080000,0.6569000,-0.6440000,,,,11.9450000,0.0260000,-0.0260000,17.4076000,0.0021540,-0.0021540,2016-02-24,2004-10,2016-02-25
2MASS J12073346-3932539 b,2MASS J12073346-3932539,0,1,1,Imaging,2004,Paranal Observatory,Published Confirmed,0,<a refstr=DUCOURANT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...477L...1D/abstract target=ref> Ducourant et al. 2008 </a>,,,,,46.000000,5.000000,-5.000000,0,,,,,,,,,1271.00000,318.00000,-318.00000,0,4.00000,1.00000,-1.00000,0,Mass,,,,,,,,,1150,150,-150,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,2825.00,157.00,-157.00,0,0.22,0.01,-0.01,0,0.19,0.02,-0.02,0,,,,,,5.03,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.3080000,0.6569000,-0.6440000,,,,11.9450000,0.0260000,-0.0260000,17.4076000,0.0021540,-0.0021540,2014-05-14,2008-01,2014-05-14
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,,,,,7493.000000,11.000000,-11.000000,0,,,,,,,,,3813.94088,317.82841,-317.82841,0,12.00000,1.00000,-1.00000,0,Mass,,,,,,,,,1616,32,-3,0,0,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h25m27.91s,321.3662989,-81d38m29.36s,-81.6414894,34.1154000,0.0811000,-0.0807000,11.8040000,0.0700000,-0.0700000,7.3410000,0.0400000,-0.0400000,10.8133000,0.0020880,-0.0020880,2024-05-07,2024-01,2024-05-07
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,1,Imaging,2016,W. M. Keck Observatory,Published Confirmed,0,<a refstr=BOWLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,,,,,230.000000,20.000000,-20.000000,0,,,,,,,,,3972.87500,476.74500,-476.74500,0,12.50000,1.50000,-1.50000,0,Mass,,,,,,,,,,,,,0,<a refstr=BOWLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,K7 V,4045.00,35.00,-35.00,0,,,,,0.60,0.05,-0.05,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830,69.5737000,0.1592000,-0.1585000,12.3680000,0.0570000,-0.0570000,9.1480000,0.0180000,-0.0180000,11.9484000,0.0007370,-0.0007370,2016-11-09,2017-01,2016-11-10
51 Eri b,51 Eri,0,3,1,Imaging,2015,Gemini Observatory,Published Confirmed,0,<a refstr=MAIRE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A.118M/abstract target=ref>Maire et al. 2019</a>,11688.00000000,6209.25000000,-3287.25000000,0,12.000000,4.000000,-2.000000,0,,,,,,,,,,,,,,,,,,0.450000,0.100000,-0.150000,0,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,7295.00,120.09,-98.99,0,1.49,0.05,-0.06,0,1.65,0.36,-0.18,0,,,,,,4.31,0.09,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575000,0.1213000,-0.1203000,5.2114900,0.0230000,-0.0230000,4.5370000,0.0240000,-0.0240000,5.1580600,0.0023075,-0.0023075,2019-07-09,2019-04,2019-07-11
51 Eri b,51 Eri,1,3,1,Imaging,2015,Gemini Observatory,Published Confirmed,0,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,,,,,13.200000,0.200000,-0.200000,0,,,,,,,,,635.66000,,,0,2.00000,,,0,Mass,,,,,,,,,700,,,0,0,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,F0 IV,,,,,,,,,1.75,0.05,-0.05,0,-0.027,0.045,-0.045,0,[M/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575000,0.1213000,-0.1203000,5.2114900,0.0230000,-0.0230000,4.5370000,0.0240000,-0.0240000,5.1580600,0.0023075,-0.0023075,2019-07-08,2015-00,2015-08-14
51 Eri b,51 Eri,0,3,1,Imaging,2015,Gemini Observatory,Published Confirmed,0,<a refstr=DE_ROSA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814L...3D/abstract target=ref>De Rosa et al. 2015</a>,14965.00000000,12775.00000000,-4380.00000000,0,14.000000,7.000000,-3.000000,0,,,,,,,,,,,,,,,,,,0.210000,0.190000,-0.150000,0,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,7295.00,120.09,-98.99,0,1.49,0.05,-0.06,0,1.65,0.36,-0.18,0,,,,,,4.31,0.09,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575000,0.1213000,-0.1203000,5.2114900,0.0230000,-0.0230000,4.5370000,0.0240000,-0.0240000,5.1580600,0.0023075,-0.0023075,2019-07-08,2015-11,2015-12-03
AB Aur b,AB Aur,1,1,1,Imaging,2022,Subaru Telescope,Published Confirmed,0,<a refstr=CURRIE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp...76C/abstract target=ref>Currie et al. 2022</a>,,,,,93.900000,49.300000,-49.300000,0,,,,,,,,,2860.45566,,,0,9.00000,,,0,Mass,0.400000,0.200000,-0.210000,0,,,,,,,,,0,<a refstr=CURRIE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp...76C/abstract target=ref>Currie et al. 2022</a>,,9770.00,100.00,-100.00,0,,,,,2.40,0.20,-0.20,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h55m45.85s,73.9410446,+30d33m03.92s,30.5510888,162.1270000,1.5260000,-1.4980000,7.0760000,0.0420000,-0.0420000,4.2300000,0.0160000,-0.0160000,7.0785400,0.0010490,-0.0010490,2022-04-12,2022-04,2022-04-12
AB Pic b,AB Pic,1,1,1,Imaging,2005,Paranal Observatory,Published Confirmed,0,<a refstr=CHAUVIN_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...438L..29C/abstract target=ref> Chauvin et al. 2005 </a>,,,,,260.000000,,,0,,,,,,,,,4290.50000,158.90000,-158.90000,0,13.50000,0.50000,-0.50000,0,Mass,,,,,,,,,,,,,0,<a refstr=CHAUVIN_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...438L..29C/abstract target=ref> Chauvin et al. 2005 </a>,K2 V,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475000,0.0735000,-0.0733000,9.1300000,0.0300000,-0.0300000,6.9810000,0.0240000,-0.0240000,8.8378000,0.0013320,-0.0013320,2014-05-14,2005-08,2014-05-14
AF Lep b,AF Lep,1,1,1,Imaging,2023,Paranal Observatory,Published Confirmed,0,<a refstr=FRANSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230205420F/abstract target=ref>Franson et al. 2023</a>,8030.00000000,1800.00000000,-1800.00000000,0,8.400000,1.100000,-1.300000,0,,,,,,,,,1017.05090,222.47988,-190.69704,0,3.20000,0.70000,-0.60000,0,Mass,0.240000,0.270000,-0.150000,0,,,,,,,,,0,<a refstr=FRANSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230205420F/abstract target=ref>Franson et al. 2023</a>,F8 V,6130.00,60.00,-60.00,0,1.25,0.06,-0.06,0,1.20,0.06,-0.06,0,0.190,0.020,-0.020,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564000,0.0189000,-0.0188000,6.3320000,0.0350000,-0.0350000,4.9260000,0.0210000,-0.0210000,6.1864400,0.0011395,-0.0011395,2023-06-12,2023-02,2023-06-12
AF Lep b,AF Lep,0,1,1,Imaging,2023,Paranal Observatory,Published Confirmed,0,<a refstr=MESA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230206213M/abstract target=ref>Mesa et al. 2023</a>,7520.00000000,1200.00000000,-1300.00000000,0,7.990000,0.850000,-0.920000,0,,,,,,,,,1664.46737,27.01541,-31.78284,0,5.23700,0.08500,-0.10000,0,Mass,0.470000,0.170000,-0.130000,0,,,,,1400,300,-300,0,0,<a refstr=MESA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230206213M/abstract target=ref>Mesa et al. 2023</a>,F8 V,6100.00,,,0,1.25,0.06,-0.06,0,1.20,0.06,-0.06,0,,,,,,4.40,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564000,0.0189000,-0.0188000,6.3320000,0.0350000,-0.0350000,4.9260000,0.0210000,-0.0210000,6.1864400,0.0011395,-0.0011395,2023-02-25,2023-02,2023-02-25
AF Lep b,AF Lep,0,1,1,Imaging,2023,Paranal Observatory,Published Confirmed,0,<a refstr=DE_ROSA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230206332D/abstract target=ref>De Rosa et al. 2023</a>,9060.00000000,3650.00000000,-2480.00000000,0,9.300000,2.300000,-1.800000,0,,,,,,,,,1366.66215,921.70238,-381.39409,0,4.30000,2.90000,-1.20000,0,Mass,0.320000,0.410000,-0.230000,0,,,,,,,,,0,<a refstr=DE_ROSA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230206332D/abstract target=ref>De Rosa et al. 2023</a>,F8 V,6140.00,47.00,-47.00,0,,,,,1.13,0.10,-0.04,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564000,0.0189000,-0.0188000,6.3320000,0.0350000,-0.0350000,4.9260000,0.0210000,-0.0210000,6.1864400,0.0011395,-0.0011395,2023-02-25,2023-02,2023-02-25
BD+60 1417 b,BD+60 1417,1,1,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,Published Confirmed,0,<a refstr=FAHERTY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...923...48F/abstract target=ref>Faherty et al. 2021</a>,,,,,1662.000000,,,0,14.684,0.673,-0.673,0,1.310,0.060,-0.060,0,4767.42610,1589.14204,-1589.14204,0,15.00000,5.00000,-5.00000,0,Mass,,,,,,,,,1303,74,-74,0,0,<a refstr=FAHERTY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...923...48F/abstract target=ref>Faherty et al. 2021</a>,K0,4993.00,124.00,-124.00,0,0.80,0.05,-0.05,0,1.00,,,0,,,,,,4.55,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,44.9543000,0.0593000,-0.0592000,9.3740000,0.0030000,-0.0030000,7.2880000,0.0240000,-0.0240000,9.1743900,0.0005330,-0.0005330,2022-01-10,2021-12,2022-01-10
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,1,Imaging,2011,W. M. Keck Observatory,Published Confirmed,0,<a refstr=LIU_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...740..108L/abstract target=ref> Liu et al. 2011 </a>,10037.50000000,2737.50000000,-2737.50000000,0,2.600000,0.300000,-0.300000,0,,,,,,,,,3337.10000,1430.20000,-1430.20000,0,10.50000,4.50000,-4.50000,0,Mass,,,,,,,,,370,40,-40,0,0,<a refstr=LIU_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...740..108L/abstract target=ref> Liu et al. 2011 </a>,,580.50,24.50,-24.50,0,,,,,0.02,0.01,-0.01,0,,,,,,4.72,0.28,-0.28,0,<a refstr=DELORME_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...484..469D/abstract target=ref> Delorme et al. 2008 </a>,14h58m29.00s,224.6208333,+10d13m43.0s,10.2286111,,,,,,,,,,,,,2014-05-14,2011-10,2014-05-14
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,1,Imaging,2021,Hubble Space Telescope,Published Confirmed,0,<a refstr=FONTANIVE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...905L..14F/abstract target=ref>Fontanive et al. 2020</a>,8040000.00000000,470000.00000000,-470000.00000000,0,200.000000,6.000000,-6.000000,0,20.849,0.560,-0.560,0,1.860,0.050,-0.050,0,2479.06157,222.47988,-254.26273,0,7.80000,0.70000,-0.80000,0,Mass,,,,,,,,,1800,40,-40,0,0,<a refstr=FONTANIVE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...905L..14F/abstract target=ref>Fontanive et al. 2020</a>,M9-L1,2320.00,40.00,-40.00,0,0.24,0.01,-0.01,0,0.01,0.00,0.00,0,,,,,,3.85,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h27m44.23s,246.9342770,-23d58m52.14s,-23.9811500,,,,,,,14.5930000,0.0980000,-0.0980000,,,,2021-05-17,2020-12,2021-05-17
